species,twfe_ate,twfe_se,dml_cate,dml_se,sa_att,sa_se
Carpococcyx renauldi,0.009887066454288466,0.006889136105792475,0.00058142616819364,0.0071151232602031985,0.018611487878129593,0.005971145342151178
Chelonia mydas,-0.004082013937001342,0.0064512068958668175,0.014243618324862529,0.0064505697392376,-0.003819232184271179,0.006230124744986275
Crocodylus siamensis,0.0019567129502102262,0.004319003538018162,0.0027898920462436443,0.004880684993164523,0.0021715417858910193,0.004671454256806824
Cuora trifasciata,-0.004768646151553534,0.0049482255568997395,-0.0022662113095195512,0.0022871726186525962,0.0032904805632078295,0.0037649863224505594
Elephas maximus,0.007704097602431316,0.012847983274666658,0.026403830766499232,0.013875036359902221,0.0029155740167391628,0.012898842083076678
Lophura edwardsi,-0.012630014858840986,0.010103141769318391,-0.002370588094651536,0.008532922834391572,-0.017241379310344907,0.011285759559177329
Panthera tigris,-0.002193224349721423,0.002769955332631592,-6.215964155529943e-05,0.002692694564876865,-0.0020850819407156195,0.002647038392448727
Rhinoceros sondaicus,0.043584812011415716,0.04189041601359239,0.038027906820303915,0.02001298899770445,0.04233475173620565,0.03961563205341081
Turdoides striata,-0.01228443575975202,0.015653914033586173,0.019795918613824588,0.014076187069729431,-0.008473812518082088,0.01638860539976881
